interval_index,node_index,fraction,z_mid,group,raw_component_sum_kappa_cMpc_inv,authoritative_total_kappa_cMpc_inv,raw_sum_vs_authoritative_relative_residual,conditioned_kappa_sum_relative_residual,conditioned_current_sum_relative_residual,minimum_component_kappa_cMpc_inv,minimum_component_current_s-1_cMpc-3,exact_zero_G3_current
2,0,0.0,5.75,G2b,0.0011846175804933598,0.0011846175804943,7.936908412140128e-13,0.0,0.0,0.0,0.0,True
2,0,0.0,5.75,G3,1.811296527506114,1.81129652750612,3.3098966634857576e-15,0.0,0.0,0.0,0.0,True
2,1,0.0096073597983847,5.75,G1,0.07773674832341423,0.0777845177180943,0.0006141247137790932,0.0,0.0,0.0,0.0,True
2,1,0.0096073597983847,5.75,G2a,0.03883225827240842,0.0388355050883185,8.360431781940679e-05,0.0,1.203363360790294e-16,0.0,0.0,True
2,1,0.0096073597983847,5.75,G2b,0.0011661597229546366,0.0011661597229556,8.261493100009082e-13,1.8594402655883597e-16,2.1295736146617754e-16,0.0,0.0,True
2,1,0.0096073597983847,5.75,G3,1.8112956192246048,1.8112956192246108,3.3098983232468177e-15,0.0,0.0,0.0,0.0,True
2,2,0.0380602337443566,5.75,G1,0.07855925171666678,0.0786084335532033,0.000625655980070243,0.0,0.0,0.0,0.0,True
2,2,0.0380602337443566,5.75,G2a,0.039264501832970575,0.0392678682186022,8.572875952644037e-05,0.0,0.0,0.0,0.0,True
2,2,0.0380602337443566,5.75,G2b,0.0011592523759922694,0.0011592523759932,8.028270324347528e-13,0.0,0.0,0.0,0.0,True
2,2,0.0380602337443566,5.75,G3,1.8113007678362714,1.8113007678362767,2.942123479893785e-15,0.0,0.0,0.0,0.0,True
2,3,0.0842651938487273,5.75,G1,0.0799294030995912,0.0799809410048586,0.0006443773306475893,0.0,0.0,0.0,0.0,True
2,3,0.0842651938487273,5.75,G2a,0.04000381468330888,0.0400073828836153,8.918854594412914e-05,0.0,0.0,0.0,0.0,True
2,3,0.0842651938487273,5.75,G2b,0.0011711063879402655,0.00117110638794,2.266341423440767e-13,1.8515861302620645e-16,2.0665143148585314e-16,0.0,0.0,True
2,3,0.0842651938487273,5.75,G3,1.8113141497842147,1.81131414978422,2.9421017435521045e-15,0.0,0.0,0.0,0.0,True
2,4,0.1464466094067262,5.75,G1,0.08184459963554903,0.0818994348570872,0.0006695433446378745,0.0,0.0,0.0,0.0,True
2,4,0.1464466094067262,5.75,G2a,0.04104221370112658,0.0410460692144505,9.393136535855654e-05,0.0,1.2000363767429247e-16,0.0,0.0,True
2,4,0.1464466094067262,5.75,G2b,0.0011905550542493965,0.0011905550542498,3.389511868087326e-13,0.0,0.0,0.0,0.0,True
2,4,0.1464466094067262,5.75,G3,1.8113330431864756,1.8113330431864811,3.0646573494625318e-15,0.0,0.0,0.0,0.0,True
2,5,0.2222148834901988,5.75,G1,0.08429704431784506,0.0843561025527109,0.0007001062528811429,0.0,1.255032305470102e-16,0.0,0.0,True
2,5,0.2222148834901988,5.75,G2a,0.04237855016803506,0.0423827817789723,9.984268987596596e-05,0.0,0.0,0.0,0.0,True
2,5,0.2222148834901988,5.75,G2b,0.0012153191234891706,0.0012153191234901,7.647193928666467e-13,0.0,1.9030930997036672e-16,0.0,0.0,True
2,5,0.2222148834901988,5.75,G3,1.811356297331226,1.8113562973312325,3.554956886347132e-15,0.0,0.0,0.0,0.0,True
2,6,0.3086582838174551,5.75,G1,0.08726929140680216,0.0873334577058476,0.0007347275686892811,0.0,0.0,0.0,0.0,True
2,6,0.3086582838174551,5.75,G2a,0.0440079123081032,0.0440126107486955,0.00010675214472348427,0.0,1.1956621085833732e-16,0.0,0.0,True
2,6,0.3086582838174551,5.75,G2b,0.0012449039452057794,0.0012449039452062,3.3791397685280676e-13,0.0,0.0,0.0,0.0,True
2,6,0.3086582838174551,5.75,G3,1.8113831128187823,1.811383112818788,3.187155542742638e-15,0.0,0.0,0.0,0.0,True
2,7,0.4024548389919358,5.75,G1,0.09072791812913644,0.0907979970486872,0.0007718112935154159,0.0,0.0,0.0,0.0,True
2,7,0.4024548389919358,5.75,G2a,0.04591715045834677,0.0459224051902311,0.00011442632115122494,0.0,1.193107652204737e-16,0.0,0.0,True
2,7,0.4024548389919358,5.75,G2b,0.0012787542198476355,0.0012787542198473,2.6232730806321203e-13,0.0,0.0,0.0,0.0,True
2,7,0.4024548389919358,5.75,G3,1.8114125911669026,1.811412591166908,2.941941854764174e-15,0.0,0.0,0.0,0.0,True
2,8,0.4999999999999999,5.75,G1,0.09461527469884226,0.094691934661274,0.0008095722482169299,0.0,0.0,0.0,0.0,True
2,8,0.4999999999999999,5.75,G2a,0.04807970988042624,0.0480856035671171,0.00012256655326448076,0.0,0.0,0.0,0.0,True
2,8,0.4999999999999999,5.75,G2b,0.001316088997719172,0.0013160889977196,3.252386566857951e-13,0.0,0.0,0.0,0.0,True
2,8,0.4999999999999999,5.75,G3,1.811443722896498,1.811443722896504,3.3096277058994116e-15,0.0,0.0,0.0,0.0,True
2,9,0.5975451610080641,5.75,G1,0.09883972784132801,0.0989234320011103,0.0008461509885883158,0.0,0.0,0.0,0.0,True
2,9,0.5975451610080641,5.75,G2a,0.050449332424798404,0.0504559329390249,0.000130817405248928,0.0,0.0,0.0,0.0,True
2,9,0.5975451610080641,5.75,G2b,0.0013558435839851257,0.001355843583986,6.448388606316837e-13,0.0,1.5291498703511825e-16,0.0,0.0,True
2,9,0.5975451610080641,5.75,G3,1.8114754052626152,1.8114754052626207,3.06441650104601e-15,0.0,0.0,0.0,0.0,True
2,10,0.6913417161825448,5.75,G1,0.10326575583645706,0.103356686791683,0.0008797781551300664,0.0,0.0,0.0,0.0,True
2,10,0.6913417161825448,5.75,G2a,0.05295333806585296,0.0529606884437063,0.00013878931844239613,0.0,1.1849585940316966e-16,0.0,0.0,True
2,10,0.6913417161825448,5.75,G2b,0.0013966232456675584,0.0013966232456682,4.594158429390453e-13,0.0,0.0,0.0,0.0,True
2,10,0.6913417161825448,5.75,G3,1.811506462213872,1.8115064622138772,2.941789405315171e-15,0.0,0.0,0.0,0.0,True
2,11,0.777785116509801,5.75,G1,0.10770669092337204,0.1078046824451965,0.0009089727793064938,0.0,0.0,0.0,0.0,True
2,11,0.777785116509801,5.75,G2a,0.0554871809999493,0.0554952886069247,0.00014609541060011863,0.0,1.1824011368897639e-16,0.0,0.0,True
2,11,0.777785116509801,5.75,G2b,0.001436685897072396,0.0014366858970732,5.596521360397842e-13,0.0,1.3779982344025029e-16,0.0,0.0,True
2,11,0.777785116509801,5.75,G3,1.8115356696970544,1.81153566969706,3.0643145569714816e-15,0.0,0.0,0.0,0.0,True
2,12,0.8535533905932737,5.75,G1,0.11192448719187345,0.1120289801896744,0.0009327318487058913,0.0,0.0,0.0,0.0,True
2,12,0.8535533905932737,5.75,G2a,0.057913107774846505,0.0579219348680472,0.00015239638007263166,0.0,1.1801045140638025e-16,0.0,0.0,True
2,12,0.8535533905932737,5.75,G2b,0.0014739799965202255,0.0014739799965197,3.565999636779654e-13,0.0,0.0,0.0,0.0,True
2,12,0.8535533905932737,5.75,G3,1.81156179226277,1.8115617922627756,3.064270369818314e-15,0.0,0.0,0.0,0.0,True
2,13,0.9157348061512728,5.75,G1,0.11564164953165026,0.1157516880263658,0.0009506426782344178,0.0,0.0,0.0,0.0,True
2,13,0.9157348061512728,5.75,G2a,0.060066428394708306,0.0600758867689003,0.0001574404424253975,0.0,1.178179766341638e-16,0.0,0.0,True
2,13,0.9157348061512728,5.75,G2b,0.0015062635749743159,0.0015062635749737,4.0884400592540324e-13,0.0,0.0,0.0,0.0,True
2,13,0.9157348061512728,5.75,G3,1.8115836373530332,1.8115836373530383,2.819094745599356e-15,0.0,0.0,0.0,0.0,True
2,14,0.9619397662556434,5.75,G1,0.11856889461596234,0.1186831683597005,0.0009628470938003263,0.0,0.0,0.0,0.0,True
2,14,0.9619397662556434,5.75,G2a,0.06177209232991698,0.0617820442909877,0.00016108177035781382,0.0,0.0,0.0,0.0,True
2,14,0.9619397662556434,5.75,G2b,0.0015313160598976069,0.001531316059898,2.5672799890143525e-13,1.416039707123195e-16,1.2379333133128628e-16,0.0,0.0,True
2,14,0.9619397662556434,5.75,G3,1.8116001303130724,1.811600130313078,3.06420552209082e-15,0.0,0.0,0.0,0.0,True
