# z zre gamma density mfp_13.6eV mfp_14.48eV mfp_16.7eV mfp_20.05eV mfp_25.5eV mfp_39.5eV
6.510000 12.000000 1.000000 0.000000 69.345059 81.111341 113.373515 171.863423 293.159939 595.874779
6.530000 12.000000 1.000000 0.000000 68.742909 80.425101 112.500315 170.899423 293.126939 602.827880
6.540000 12.000000 1.000000 0.000000 68.406780 79.972900 111.665400 169.108000 288.397900 588.150500
6.550000 12.000000 1.000000 0.000000 67.985960 79.522000 111.183100 168.825400 289.214000 592.177200
6.570000 12.000000 1.000000 0.000000 67.259909 78.689560 110.062815 167.194422 286.894638 589.264178
6.580000 12.000000 1.000000 0.000000 66.754570 78.069530 109.088200 165.349300 282.389900 578.280300
6.590000 12.000000 1.000000 0.000000 66.837030 78.240010 109.567300 166.727700 286.354300 588.465200
6.600000 12.000000 1.000000 0.000000 66.055460 77.334190 108.303700 164.704300 282.465700 578.927000
6.610000 12.000000 1.000000 0.000000 65.655240 76.819370 107.468000 163.269800 280.036200 577.872700
6.620000 12.000000 1.000000 0.000000 65.013899 76.064120 106.393814 161.496221 276.044736 562.911474
6.640000 12.000000 1.000000 0.000000 64.725590 75.690040 105.753200 160.468700 275.061700 566.804000
6.650000 12.000000 1.000000 0.000000 64.266748 75.233550 105.359014 160.343221 275.760336 569.659574
6.660000 12.000000 1.000000 0.000000 64.011738 74.909150 104.827414 159.342421 273.533136 565.199674
6.670000 12.000000 1.000000 0.000000 63.544810 74.341400 104.007300 158.236200 272.416300 564.463700
6.680000 12.000000 1.000000 0.000000 62.930490 73.615970 102.958100 156.478100 268.923500 556.470400
6.690000 12.000000 1.000000 0.000000 62.669098 73.373960 102.815713 156.626720 269.407035 554.688972
6.710000 12.000000 1.000000 0.000000 61.952908 72.516679 101.522313 154.347720 264.891534 547.016171
6.720000 12.000000 1.000000 0.000000 61.974848 72.557209 101.637513 154.648820 265.634034 548.366971
6.730000 12.000000 1.000000 0.000000 61.503240 71.995190 100.818600 153.402800 263.757800 546.026900
6.740000 12.000000 1.000000 0.000000 61.077064 71.524805 100.250756 152.755310 263.201317 544.569185
6.750000 12.000000 1.000000 0.000000 60.810750 71.215880 99.829510 152.208600 262.636100 546.400800
6.760000 12.000000 1.000000 0.000000 60.486960 70.826160 99.252790 151.248300 260.950400 545.267200
6.770000 12.000000 1.000000 0.000000 60.205168 70.498619 98.805093 150.564019 259.691133 540.677870
6.780000 12.000000 1.000000 0.000000 59.511440 69.716890 97.792840 149.171900 257.409900 533.718900
6.800000 12.000000 1.000000 0.000000 59.480618 69.676739 97.727013 149.038419 257.073233 534.744169
6.810000 12.000000 1.000000 0.000000 59.065308 69.209119 97.144602 148.390819 256.575533 534.463468
6.820000 12.000000 1.000000 0.000000 58.419570 68.426290 95.966140 146.415100 252.989800 527.017800
6.830000 12.000000 1.000000 0.000000 58.156107 68.137469 95.628082 146.138219 253.388332 531.108168
6.840000 12.000000 1.000000 0.000000 57.755380 67.687800 95.039380 145.320600 252.231800 530.894700
6.860000 12.000000 1.000000 0.000000 57.303677 67.120259 94.132462 143.626518 248.221232 518.630666
6.870000 12.000000 1.000000 0.000000 57.261857 67.124679 94.292862 144.288418 250.858132 530.400967
6.880000 12.000000 1.000000 0.000000 56.475740 66.150020 92.782530 141.721000 245.749800 518.317100
6.900000 12.000000 1.000000 0.000000 56.060467 65.669618 92.132912 140.743018 243.990431 514.150965
6.910000 12.000000 1.000000 0.000000 55.486720 65.002150 91.216780 139.510100 242.546400 513.173300
6.920000 12.000000 1.000000 0.000000 55.499080 65.049390 91.353320 139.660700 242.154600 509.500900
6.930000 12.000000 1.000000 0.000000 55.203787 64.705578 90.888781 139.071718 241.702230 511.036664
6.940000 12.000000 1.000000 0.000000 54.839427 64.247338 90.144951 137.630317 238.190830 500.901963
6.960000 12.000000 1.000000 0.000000 54.324820 63.685960 89.481740 136.988300 238.484100 507.039200
6.970000 12.000000 1.000000 0.000000 53.981750 63.330180 89.122600 136.678000 238.135400 504.881600
6.980000 12.000000 1.000000 0.000000 53.742960 62.967290 88.355610 135.008500 234.440600 496.139400
6.990000 12.000000 1.000000 0.000000 53.072047 62.192428 87.331511 133.661317 232.572829 492.456562
7.000000 12.000000 1.000000 0.000000 52.819697 61.937528 87.098551 133.535817 232.977329 496.962962
7.020000 12.000000 1.000000 0.000000 52.408697 61.480468 86.521811 132.768117 231.870329 494.447262
7.030000 12.000000 1.000000 0.000000 52.368450 61.384700 86.246570 132.055000 229.864600 489.076300
7.040000 12.000000 1.000000 0.000000 51.801196 60.789218 85.603581 131.475616 229.992629 493.315361
7.050000 12.000000 1.000000 0.000000 51.571456 60.465938 84.979511 130.051616 226.047628 480.987160
7.060000 12.000000 1.000000 0.000000 51.343096 60.198117 84.613790 129.644116 226.236928 485.211760
7.080000 12.000000 1.000000 0.000000 51.007670 59.776970 83.950810 128.545700 224.215800 479.845800
7.090000 12.000000 1.000000 0.000000 50.484636 59.224697 83.352630 127.966116 223.748128 478.200359
7.100000 12.000000 1.000000 0.000000 50.289720 58.976140 82.929660 127.112400 221.770900 474.822500
