interval_index,node_count,quantity,candidate_average,GL256_average,absolute_variation_average,dense_relative_residual,next_node_count,nested_relative_delta
0,33,thermal_cooling_total_erg_cm-3_s-1,2.191831103019905e-33,2.19183110365086e-33,2.19183110365086e-33,2.8786668796891394e-10,65.0,2.8786528319600966e-10
0,33,thermal_expansion_work_erg_cm-3_s-1,1.7552108353621716e-32,1.755210835359897e-32,1.755210835359897e-32,1.295939347425805e-12,65.0,1.295939347425805e-12
0,33,thermal_thermal_rhs_erg_cm-3_s-1,-1.303344937599375e-32,-1.303344925187098e-32,1.303344925187098e-32,9.523401509857739e-09,65.0,9.523347962073553e-09
0,65,redshift_threshold_loss_rate_s-1_cMpc-3,8.663715013166024e+48,8.663715013166034e+48,8.663715013166034e+48,1.1986305760621679e-15,,
0,65,absorption_G1_s-1_cMpc-3,4.025238807587097e+50,4.025238807587089e+50,4.025238807587089e+50,2.063896173811293e-15,,
0,65,absorption_G2a_s-1_cMpc-3,1.0484482572765667e+50,1.0484482572765866e+50,1.0484482572765866e+50,1.9017075757810974e-14,,
0,65,absorption_G2b_s-1_cMpc-3,2.5084861585718713e+48,2.5084861585720676e+48,2.5084861585720676e+48,7.82678127572804e-14,,
0,65,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,,
0,65,thermal_photoheat_erg_cm-3_s-1,6.710490205378148e-33,6.71049020537885e-33,6.71049020537885e-33,1.0461496346887855e-13,,
0,65,thermal_photoheat_H_erg_cm-3_s-1,5.5106152943677964e-33,5.510615294368488e-33,5.510615294368488e-33,1.2553122187900728e-13,,
0,65,thermal_photoheat_HeI_erg_cm-3_s-1,1.1998749110103509e-33,1.1998749110103608e-33,1.1998749110103608e-33,8.268614097037787e-15,,
0,65,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,,
0,65,thermal_threshold_H_erg_cm-3_s-1,1.6502514874721604e-32,1.6502514874723454e-32,1.6502514874723454e-32,1.1211332895161924e-13,,
0,65,thermal_threshold_HeI_erg_cm-3_s-1,3.691492604859105e-33,3.691492604859116e-33,3.691492604859116e-33,2.965641658912505e-15,,
0,65,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,,
0,65,thermal_recombination_cooling_erg_cm-3_s-1,1.1713047226401999e-33,1.1713047226401997e-33,1.1713047226401997e-33,1.460396582883459e-16,,
0,65,thermal_excitation_cooling_erg_cm-3_s-1,2.6294507347746e-35,2.6294507347748837e-35,2.6294507347748837e-35,1.0794939355883857e-13,,
