shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,constraint,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min,clipping_used
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10,100.0,NEGATIVE_PHOTON_CURRENT,9.74060856335796e-211,9.733599873062531e-211,7.0086902954311135e-214,3.52113096024415e-208,7.851838173659127e-210,-1.5544513990619413e-08,0.02517372146563049,0.9927974780856973,-2.8984818736253766e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,100.0,NEGATIVE_CYCLING_CAPACITY,9.992520344855447e-210,9.981548925726635e-210,1.097141912881363e-212,3.534114981074882e-208,-0.010456118865367138,-0.034266276825232284,0.0093397532122982,0.9261120634354635,-7.345566757724812e-09,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,100.0,NEGATIVE_PHOTON_CURRENT,9.992520344855447e-210,9.981548925726635e-210,1.097141912881363e-212,3.534114981074882e-208,-0.010456118865367138,-0.034266276825232284,0.0093397532122982,0.9261120634354635,-7.345566757724812e-09,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,100.0,CYCLING_CAPACITY_DEFICIT,9.992520344855447e-210,9.981548925726635e-210,1.097141912881363e-212,3.534114981074882e-208,-0.010456118865367138,-0.034266276825232284,0.0093397532122982,0.9261120634354635,-7.345566757724812e-09,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,13,100.0,NEGATIVE_PHOTON_CURRENT,5.493874755139853e-210,5.4898387329100096e-210,4.036022229843555e-213,3.5216484962695363e-208,6.212050560876196e-210,-0.021424622133835447,0.04260419786568029,0.9593765080888457,-3.199703050650462e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,14,100.0,NEGATIVE_CYCLING_CAPACITY,1.1451228431056195e-210,1.1439419218183919e-210,1.1809212872275537e-213,3.531823410840142e-208,-0.008487446131302555,-0.03532942921696516,0.07476028004736132,0.9915325902705266,-1.797095013364422e-13,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,14,100.0,NEGATIVE_PHOTON_CURRENT,1.1451228431056195e-210,1.1439419218183919e-210,1.1809212872275537e-213,3.531823410840142e-208,-0.008487446131302555,-0.03532942921696516,0.07476028004736132,0.9915325902705266,-1.797095013364422e-13,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,15,100.0,NEGATIVE_PHOTON_CURRENT,4.62958520494843e-210,4.626206810269015e-210,3.378394679414299e-213,3.521480623450282e-208,6.123789106565172e-210,-0.013186972404229244,0.04899503513736155,0.9657673453605269,-6.111720322979793e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,16,100.0,NEGATIVE_PHOTON_CURRENT,4.587154632738132e-210,4.5838028796806534e-210,3.351753057478031e-213,3.5215128990696276e-208,6.140299933493637e-210,-0.013031092156393973,0.04930878055089832,0.9660810907740636,-3.3146431163171696e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,17,100.0,NEGATIVE_PHOTON_CURRENT,4.671341811178264e-210,4.667921844411756e-210,3.419966766507299e-213,3.5215620327032083e-208,6.16584638226334e-210,-0.014037575466511338,0.04868627324688926,0.9654585834700544,-3.2979607028306413e-17,False
